Title;Issn;SJR
33rd Annual International Battery Seminar and Exhibit: Advanced Battery Technologies for Consumer, Automotive and Military Applications;-;100
33rd Danubia Adria Symposium on Advances in Experimental Mechanics;-;100
39th World Energy Engineering Conference, WEEC 2016;-;100
40th International Precious Metals Institute Annual Conference, IPMI 2016;-;100
50th Annual Loss Prevention Symposium 2016, LPS 2016 - Topical Conference at the 2016 AIChE Spring Meeting and 12th Global Congress on Process Safety;-;100
5th EI Electrical Insulation Conference Materials and Application, EIC 1963;-;100
7th Electrical Insulation Conference, EIC 1967;-;100
91st International School of Hydrocarbon Measurements, ISHM 2016;-;100
9th International Workshop on Precipitation in Urban Areas: Urban Challenges in Rainfall Analysis, UrbanRain 2012;-;100
ABU Technical Review;1266209;100
Acoustics Bulletin;0308437X;100
Acta Antiqua Academiae Scientiarum Hungaricae;00445975, 15882543;100
Acta Baltico-Slavica;651044;100
Acta Literaria;07176848, 07160909;100
Actual Problems of Theory and History of Art;23122129;100
Adamantius;11266244;100
Adhaesion Kleben und Dichten;16191919;100
Advances in Technology to Support End User Mission - Proceedings of the 2016 Joint Conference/Symposium of the Society for Machinery Failure Prevention Technology and the International Society of Automation;-;100
Advancing Microelectronics;22228748;100
AES-ATEMA International Conference Series - Advances and Trends in Engineering Materials and their Applications;19243642;100
Aevum - Rassegna di Scienze Storiche Linguistiche e Filologiche;00019593, 1827787X;100
Africa Yearbook;18729037, 18712525;100
Agora - Estudos Classicos em Debate;8745498;100
AIAA Paper;1463705;100
AIChE, Ammonia Plant Safty and Related Facilities v12 (CEP Tech Manual);03607011, 0099541X;100
AIChE Ethylene Producers Conference Proceedings;-;100
AIMS Journal;2655004;100
Air and Waste Management Association - Air Quality Measurement Methods and Technology Conference 2016;-;100
Air and Waste Management Association - Power Plant Pollutant Control 'MEGA' Symposium, MEGA 2016;-;100
Airline Business;2687615;100
Aktuality v Nefrologii;1210955X;100
Akzente;23957;100
Alea;18070299, 1517106X;100
American Art;15496503, 10739300;100
American Book Review;1499408;100
American City and County;0149337X;100
American Forests;28541;100
American Fuel and Petrochemical Manufacturers, AFPM - Environmental Conference 2016;-;100
American History;10768866;100
American Literary Scholarship;00659142, 15272125;100
American Society of Mechanical Engineers, Applied Mechanics Division, AMD;1608835;100
American Society of Mechanical Engineers (Paper);4021215;100
Amerikastudien;3402827;100
Anaesthesiology and Intensive Care;13104284;100
Analele Universitatii Ovidius Constanta, Seria Filologie;12241768;100
Anales de la Literatura Espanola Contemporanea;2721635;100
Anales de Literatura Chilena;7176058;100
Anales de Literatura Hispanoamericana;02104547, 19882351;100
Analiza i Egzystencja;17349923, 23007621;100
Anali Zavoda za Povijesne Znanosti Hrvatske Akademije Znanosti i Umjetnosti u Dubrovniku;18487815, 13300598;100
Anclajes;03293807, 18514669;100
Animal Technology and Welfare;17420385;100
Annales de Bourgogne;33901;100
Annales de Bretagne et des pays de l'Ouest;3990826;100
Annales Historiques de la Revolution Francaise;1952403X, 00034436;100
Annali della Scuola Normale Superiore di Pisa, Classe di Lettere e Filosofia;0392095X;100
Annals of the Naprstek Museum;0231844X;100
Annee Balzacienne;846473;100
Antigonish Review;35661;100
Antioch Review, The;35769;100
Anuario de Historia de la Iglesia;11330104;100
Apollo;36536;100
Apparel;15432009;100
Arcadia;00037982, 16130642;100
Archaologie der Schweiz;2559005;100
Architect;19357001;100
Architectural Digest;38520;100
Architectural Record;0003858X;100
Architecture d'Aujourd Hui;38695;100
Archivio di Storia della Cultura;11240059, 2037688X;100
Archivio Storico Italiano;3917770;100
Arete;1016913X, 22233741;100
Arion - Journal of Humanities and the Classics;955809;100
Arkansas Historical Quarterly;41823;100
Artforum International;10867058, 10983376;100
Artibus et Historiae;3919064;100
Arti Musices;05875455, 18489303;100
Art Inquiry;24510327, 16419278;100
ARTMargins;21622574, 21622582;100
Arts of Asia;44083;100
Asian Dyer;9729488;100
Asian Journal of Ophthalmology;15602133;100
Athenaeum;46574;100
A + U-Architecture and Urbanism;3899160;100
Australian Literary Studies;49697;100
Australian Mining;0004976X;100
Austrian Studies;13507532, 22224262;100
Automotive Engineer;3076490;100
Automotive Industries AI;10994130, 0273656X, 00051527;100
Avant Scene Opera;7642873;100
Aviation Week and Space Technology;52175;100
Axon;18388973;100
Azerbaijan Medical Journal;52523;100
Azerbaijan Pharmaceutical and Pharmacotherapy Journal;19941951;100
Bajo Palabra;1887505X, 15763935;100
Balkanistic Forum;13103970;100
Ballet Review;5220653;100
Behavioral Healthcare;19317093, 21679649;100
Best Practice Onkologie;9464565;100
Bibel und Kirche;60623;100
Biblical Archaeology Review;989444;100
Bioinformatics and Biomedical Engineering - Proceedings of the 9th International Conference on Bioinformatics and Biomedical Engineering, ICBBE 2015;-;100
Biomedicine;9702067;100
Black Camera;15363155, 19474237;100
Bogoslovska Smotra;3523101;100
Bohemistyka;16429893;100
Boletin de Arte;2118483;100
Bollettino d'Arte;3944611;100
Brumal;20147910;100
Building Engineer;9698213;100
Bulgarian Historical Review;2048906;100
Bulk Solids Handling;1739980;100
Bulletin de Litterature Ecclesiastique;74322;100
Bulletin des Bibliotheques de France;62006;100
Byu Studies;70106;100
Byzantinische Zeitschrift;00077704, 18689027;100
Byzantion Nea Hellas;07162138, 07188471;100
Byzantion: Revue Internationale des Etudes Byzantines;22946209, 03782506;100
Cadernos de Linguagem e Sociedade;01049712, 21794790;100
Cahiers Critiques de Therapie Familiale et de Pratiques de Reseaux;17821398, 13728202;100
Cahiers de Linguistique;20322356, 07716524;100
Cahiers du Monde Russe;12526576, 17775388;100
Cahiers du Musee National d'Art Moderne;1811525;100
Cahiers Elisabethains;20544715, 01847678;100
Cahiers Victoriens and Edouardiens;2205610;100
Cambridge Quarterly;0008199X, 14716836;100
Canadian Mining Journal;19233418, 00084492;100
Canadian Packaging;84654;100
Carte e la Storia;11235624;100
Casopis za Suvremenu Povijest;05909597, 18489079;100
Ceska Literatura;90468;100
Cesky Casopis Historicky;8626111;100
Chemical Processing;92630;100
Chemistry and Industry (London);00093068, 20476329;100
Chicago Review;93696;100
China Business Review;1637169;100
China Textile and Apparel;10215824;100
Chinese Law and Government;19447051, 00094609;100
Chirurgische Praxis;94846;100
Chronique d'Egypte;96067;100
Cincinnati Romance Review;21558817;100
Cineforum;97039;100
Circular Farmaceutica;97314;100
CISCI 2016 - Decima Quinta Conferencia Iberoamericana en Sistemas, Cibernetica e Informatica, Decimo Tercer Simposium Iberoamericano en Educacion, Cibernetica e Informatica, SIECI 2016 - Memorias;-;100
Civil Engineering;00097853, 08857024, 03600556;100
Clavier Companion;10860819;100
Cleanroom Technology;13655531;100
CME;1614371X, 16143744;100
Coating International;5908450;100
Codrul Cosminului;1224032X, 20675860;100
Cogito;20686706, 22479384;100
Collectanea Theologica;1376985;100
Coloquio-Letras;101451;100
Communication and Management;2271734X, 22697195;100
Communio Viatorum;103713;100
Comparative Drama;19361637, 00104078;100
Computing and Systems Technology Division 2016 - Core Programming Area at the 2016 AIChE Annual Meeting;-;100
Comunicacao Midia e Consumo;19837070, 18064981;100
Concrete Solutions - Proceedings of Concrete Solutions, 6th International Conference on Concrete Repair, 2016;-;100
Conference Record of 1978 IEEE International Symposium on Electrical Insulation, ISEI 1978;-;100
Confrontation;105716;100
Connaissance des Arts;2939274;100
Contemporary Chinese Thought;15580997, 10971467;100
Contract Pharma;15443469, 23806559;100
Control;10495541;100
Control Engineering;108049;100
Converting Today;0264715X;100
Convivium (Czech Republic);23363452, 2336808X;100
Corps and Psychisme;25536087, 24964476;100
Critica del Testo;11271140, 20365853;100
Critica Letteraria;03900142, 20352638;100
Criticism;00111589, 15360342;100
Critique (France);00111600, 19683901;100
Cuadernos de Literatura;1228102;100
Cuadernos Hispanoamericanos;0011250X;100
Cuestiones Constitucionales;14059193;100
Current Writing;1013929X, 21599130;100
Cutting Tool Engineering;114189;100
Dairy Industries International;3088197;100
Dalhousie Review;115827;100
Dancing Times;0011605X;100
D and RS 2016 - Decommissioning and Remote Systems;-;100
Danubius;12205052;100
Degres;3768163;100
Dental Press Endodontics;21783713;100
Design Engineering (Toronto);119342;100
Deutsche Vierteljahrsschrift fur Literaturwissenschaft und Geistesgeschichte;120936;100
Diabetes Forecast;958301;100
Diacovensia;13302655, 1849014X;100
Dialogues d'Histoire Ancienne;1955270X, 07557256;100
Dialogues in Cardiovascular Medicine;12729949;100
Digital TV Europe;2040266X;100
Discursos Fotograficos;18085652, 19847939;100
Discusiones Filosoficas;1246127;100
Divadelni Revue;8625409;100
Dix-Huitieme Siecle;706760;100
Dix-Septieme Siecle;19696965, 00124273;100
DLR Deutsches Zentrum fur Luft- und Raumfahrt e.V. - Forschungsberichte;14348454;100
Documentaliste: Sciences de l'Information;124508;100
DOLOR;2140659;100
Drapers;14791617;100
Dredging and Port Construction;2644835;100
Droit, Deontologie et Soin;16296583;100
Drucklufttechnik;7237537;100
Drug Topics;19378157, 00126616;100
Du: Zeitschrift Der Kultur;126837;100
Early Modern French Studies;20563035, 20563043;100
Early Music;17417260, 03061078;100
Earth;1943345X;100
East European Jewish Affairs;1743971X, 13501674;100
Eau, l'INDUSTRIE, les Nuisances;7555016;100
eb - Elektrische Bahnen;135437;100
EBR - European Biopharmaceutical Review;13690663;100
EC and M: Electrical Construction and Maintenance;134260;100
eChallenges e-2015 Conference Proceedings;-;100
Economist;130613;100
EContent;15252531;100
Education in Chemistry;131350;100
EE: Evaluation Engineering;1490370;100
EIC 1965 - Proceedings of the 6th Electrical Insulation Conference;-;100
EIC 1969 - Proceedings of the 9th Electrical Insulation Conference;-;100
EIC 1971 - Proceedings of the 10th Electrical Insulation Conference;-;100
Eidos;16928857, 20117477;100
EI Electrical Insulation Conference Materials and Application, EIC 1962;-;100
Electronic Design;134872;100
Electronic Products;134953;100
EM: Air and Waste Management Association's Magazine for Environmental Managers;10889981;100
Emballage Digest;136557;100
Enfances et Psy;12865559, 17762820;100
Engineer;137758;100
Engineering;137782;100
English;138215;100
English Studies in Canada;3170802;100
ENR (Engineering News-Record);8919526;100
Environmental Engineering;9545824;100
Ephemerides Theologicae Lovanienses;17831423, 00139513;100
Erga-Logoi;22809678, 22823212;100
Ergotherapie und Rehabilitation;9428623;100
Ernahrung;2501554;100
Erosion Control;10737227;100
Essaim;1287258X, 17762839;100
Estudios Romanicos;1989614X, 02104911;100
Ethische Perspectieven;1783144X, 07786069;100
Etudes Francaises;142085;100
Etudes Theologiques et Religieuses;00142239, 22729011;100
Euphorion - Zeitschrift fur Literaturgeschichte;142328;100
Europe;142751;100
European Drama and Performance Studies;22669035, 20458541;100
European Journal of Scandinavian Studies;21919402, 21919399;100
European Judaism;00143006, 17522323;100
Evangelische Theologie;143502;100
Existenzanalyse;10247033, 24097306;100
Expressions Maghrebines;15400085;100
Eye - International Review of Graphic Design;0960779X;100
Ezikov Svyat;13120484;100
Feuillets de Radiologie;01819801, 17730376;100
Fiber Society 2016 Spring Conference: Textile Innovations - Opportunities and Challenges;-;100
Fichte-Studien;18795811, 09250166;100
Figures de la Psychanalyse;17762847, 16233883;100
Film International;20403801, 16516826;100
Filozofski Vestnik;15811239, 03534510;100
Finance India;9703772;100
Fire Rescue Magazine;10940529;100
Fire Risk Management;17571324;100
Flexo;10517324;100
Food Manufacture;156477;100
Food, Pharmaceutical and Bioengineering Division 2016 - Core Programming Area at the 2016 AIChE Annual Meeting;-;100
Foreign Language Association of Maine Annual Conference, FLAME 2016;-;100
Fortune;158259;100
Forum Logopadie;9320547;100
Forum Stadt;1709364;100
Fourth Genre: Explorations in Nonfiction;15441733, 15223868;100
Freiburger Zeitschrift fur Philosophie und Theologie;160725;100
Gas Wasserfach Wasser Abwasser;163651;100
Gazette des Archives;165522;100
GEO: connexion;14768941;100
Geodezia es Kartografia;167118;100
Geografija v Soli;13184717;100
Geografski Obzornik;167274;100
Geoinformatics 2016 - XVth International Conference on Geoinformatics - Theoretical and Applied Aspects;-;100
German Historical Institute London Bulletin;2698552;100
Germanisch-Romanische Monatsschrift;168904;100
Gestalt;11545232;100
Giornale Critico della Filosofia Italiana;170089;100
Giornale Storico della Letteratura Italiana;170496;100
GIS-Business;14303663;100
Glass International;01437838, 01437836;100
Global Community Yearbook of International Law and Jurisprudence;15359468;100
Goethe Jahrbuch;3234207;100
Gogus-Kalp-Damar Anestezi ve Yogun Bakim Dernegi Dergisi;13055550;100
Graphic Arts Monthly;10479325;100
Gruppenpsychotherapie und Gruppendynamik;174947;100
Hali;1420798;100
H and V News;9621784;100
Hart's E and P;15274063;100
Harvard Design Magazine;10934421;100
Haut;9382216;100
Health data management;10799869;100
Health estate;9577742;100
Health facilities management;8996210;100
Health service journal, The;9522271;100
Hegel-Jahrbuch;731579;100
Henoch;3936805;100
Highways;0267825X, 01426168;100
Hispamerica;3630471;100
Hispanic Research Journal;14682737;100
Histoire Epistemologie Langage;7508069;100
Historia;01019074, 19804369;100
Historia (France);12700835;100
Historical Reflections;03157997, 19392419;100
Historisk Tidskrift;0345469X;100
History Today;182753;100
Home Textiles Today;1953184;100
Homme (Germany);21945071, 1016362X;100
Hospital Infection Control and Prevention;0098180X;100
Hospital peer review;1492632;100
Hotel Management;21582122;100
HPAC Heating, Piping, AirConditioning Engineering;15274055;100
Hudebni Veda;187003;100
Hyperboreus;21562253, 09492615;100
Iberoamerica (Russian Federation);20759711, 20768400;100
Iberoromania;190993;100
Icon News;17498988;100
IECA 2016 - International Erosion Control Association's Environmental Connection Conference;-;100
IEE Colloquium (Digest);9633308;100
IHS Jane's Defence Weekly;20483430;100
Ikon;18468551;100
Iluminace;0862397X;100
Imagen Diagnostica;21713669, 21719705;100
Imaginaire et Inconscient;16289676;100
Imago Temporis - Medium Aevum;18883931;100
imPACt 2016 - Internet, Mobile, Performance and Capacity, Cloud and Technology;-;100
IMSCI 2016 - 10th International Multi-Conference on Society, Cybernetics and Informatics, Proceedings;-;100
Indian Journal of Forensic Medicine and Pathology;09743383, 09743391;100
Indian Journal of Practical Pediatrics;9729607;100
Indian Silk;196355;100
Industry Week;390895;100
Infini;0754023X;100
Ink World;1093328X;100
Innovations in Pharmaceutical Technology;14717204;100
Interdisciplinary Literary Studies;2161427X, 15248429;100
International Air Safety Seminar Proceedings;2705176;100
International Conference on Atmospheric Optics: Aerosols, Visibility, and the Radiative Balance;-;100
International Dyer;0020658X;100
Internationale Kirchliche Zeitschrift;209252;100
Internationale Politik;1430175X;100
Internationales Archiv fuer Sozialgeschichte der Deutschen Literatur;18659128, 03404528;100
International Gas Union World Gas Conference Papers;-;100
International Journal of Hindu Studies;10224556, 15749282;100
International Journal of the Classical Tradition;10730508, 18746292;100
International No-Dig 2016 - 34th International Conference and Exhibition;-;100
International Paper Board Industry;208191;100
International Review of African American Art;10450920;100
International Review of Allergology and Clinical Immunology in Family Medicine;23007877;100
International Water Power and Dam Construction;0306400X;100
Intersezioni;03932451, 19738196;100
IoTex;25141945;100
Iride;11227893;100
Irish Sword;211389;100
IRYO - Japanese Journal of National Medical Services;211699;100
Italianistica;03913368, 17241677;100
ITU News;10204148;100
James Joyce Quarterly;19386036, 00214183;100
Japanese Journal of Chest Diseases;3853667;100
Japanese Journal of Clinical Radiology;99252;100
Japanese Journal of Clinical Urology;3852393;100
Japanese Journal of Human Geography;187216;100
Japanese Journal of Nephrology;3852385;100
Japanese Journal of Plastic Surgery;215228;100
JK Practitioner;9718834;100
Joint Commission: The Source;15428672, 19381301;100
Journal de Mecanique Theorique et Appliquee;7507240;100
Journal des Professionnels de l'Enfance;12975354;100
Journal du Textile;2930757;100
Journal for Weavers, Spinners and Dyers;2677806;100
Journal fur Anasthesie und Intensivbehandlung;9414223;100
Journal fur Gynakologische Endokrinologie;19961553, 19976690;100
Journal fur Kardiologie;10240098;100
Journal fur Urologie und Urogynakologie;10236090, 16809424;100
Journal International Medical Sciences Academy;0971071X;100
Journal of Chinese Philosophy;03018121, 15406253;100
Journal of Forensic Medicine and Toxicology;9711929;100
Journal of Modern Turkish History;21471592, 13051458;100
Journal of Philosophy ARHE;18200958, 18214959;100
Journal of Popular Film and Television;19306458, 01956051;100
Journal of Protective Coatings and Linings;87551985;100
Journal of Reformed Theology;15697312, 18725163;100
Journal of Social Development in Africa;10121080;100
Journal of Taiwan Society of Naval Architects and Marine Engineers;10234535;100
Journal of Taxation;224863;100
Journal of the Institute of Image Electronics Engineers of Japan;02859831, 13480316;100
Journal of the Japan Research Association for Textile End-Uses;372072;100
Journal of the Michigan Dental Association, The;262102;100
Journal of the New England Water Works Association;284939;100
Journal of the Water Pollution Control Federation;431303;100
Journal of the West;225169;100
Journal of Transnational American Studies;19400764;100
Journal on European History of Law;20426402;100
Kairos;15212300, 18549373;100
Keats-Shelley Review;20421362, 09524142;100
Kenyon Review;0163075X;100
Kinderkrankenschwester : Organ der Sektion Kinderkrankenpflege / Deutsche Gesellschaft fur Sozialpadiatrie und Deutsche Gesellschaft fur Kinderheilkunde;7232276;100
Kirchliche Zeitgeschichte;2196808X, 09329951;100
Knitting International;2668394;100
Knjizevna Smotra;4550463;100
Kobunshi;4541138;100
Konteksty;12306142;100
Krankenpflege. Soins infirmiers;2530465;100
Landfall;237930;100
Langage et l'Homme;4587251;100
Latomus;238856;100
Legal History Review;00407585, 15718190;100
Lettere Italiane;241334;100
Lettres Romanes;241415;100
Liaison Functions 2016 - Core Programming Area at the 2016 AIChE Spring Meeting and 12th Global Congress on Process Safety;-;100
LIA Today;-;100
Liberte;242020;100
Lidil;19606052, 11466480;100
Lighting Design and Application: LD and A;3606325;100
Linguistique;0075966X;100
Literary Review;244589;100
Literatur und Kritik;0024466X;100
Litterature;474800;100
Lotus International;11249064;100
Lusitania Sacra;761508;100
Luso-Brazilian Review;15489957, 00247413;100
Machado de Assis em Linha;19836821;100
Machinery and Production Engineering;0024919X;100
Manufacturing Chemist;2624230;100
Manuscripta Orientalia;24153613, 12385018;100
Mapping and Image Science;16518705;100
Marine Technology;00253316, 21534721;100
Maritime by Holland;22113444;100
Maryland medicine : MM : a publication of MEDCHI, the Maryland State Medical Society;15382656;100
Master Drawings;255025;100
Matatu;9329714;100
Material Science and Engineering - Proceedings of the 3rd Annual International Conference on Material Science and Engineering, ICMSE 2015;-;100
Mechatronik;18672590;100
Medecine Therapeutique;12646520, 19524099;100
Medical Device and Diagnostic Industry;0194844X;100
Medical economics;257206;100
Medioevo Romanzo;03900711, 17241707;100
Mediterranea: Ricerche Storiche;1828230X, 18243010;100
Meet the Faculty Candidate Poster Session 2016 - Sponsored by the Education Division - Topical Conference at the 2016 AIChE Annual Meeting;-;100
Memoria e Ricerca;11270195, 1972523X;100
Memorias;17948886;100
Metabolic Engineering 11;-;100
Metal Casting Design and Purchasing;15234371;100
MGMA connexion / Medical group Management Association;15370240;100
Michigan Quarterly Review;00262420, 15587266;100
Midwifery today with international midwife;15518892;100
Milton Studies;768820;100
Missouri Review;15489930;100
Mitsubishi Electric Advance;13453041, 03865096;100
Montana : the magazine of western history;269891;100
Motor Ship;272000;100
Moyen Age;272841;100
MSW Management;10537899;100
Multicultural Shakespeare;23007605, 20838530;100
Musik und Asthetik;14329425;100
Musik und Kirche;274771;100
Muttersprache;0027514X;100
Muveszettorteneti Ertesito;15882802, 00275247;100
NASA Conference Publication;1917811;100
Nation;278378;100
National Bureau of Standards, Special Publication;831883;100
National Interest;8849382;100
Nau Literaria;19814526;100
Nephrology, Dialysis and Transplantation;13125257;100
Neue Rundschau;283347;100
Neue Zeitschrift fur Musik;9456945;100
Nevtani Ertesito;1392190;100
New Centennial Review;1532687X, 15396630;100
New Design;14722674;100
New Electronics;479624;100
New England Quarterly-A Historical Review of New England Life and Letters;00284866, 19372213;100
News and Tech;21506884;100
Nieren- und Hochdruckkrankheiten;3005224;100
Nietzsche-Studien;16130790, 03421422;100
Nineteenth-Century Literature;08919356, 10678352;100
Nineteenth Century Prose;10520406;100
Nishinihon Journal of Dermatology;3869784;100
Nonwovens Industry;1634429;100
Nordic Theatre Studies;9046380;100
North American Review;292397;100
Northern Logger and Timber Processor;293156;100
Nouvelle Revue Francaise;294802;100
Novoe Literaturnoe Obozrenie;8696365;100
Nuclear Engineering International;295507;100
Nuclear Plant Journal;8922055;100
Numen Book Series;1698834;100
Nuova Rivista Storica;296236;100
Occupational Health and Safety;3624064;100
Oceans Conference Record (IEEE);1977385;100
Oeil;0029862X;100
Offshore;300608;100
Offshore Engineering;0305876X;100
Oftalmologija. Vostochnaja Evropa;24143642, 22260803;100
Olhydraulik und Penumatik;3412660;100
Oncology Report;15485323;100
Open Insight;23958936, 20072406;100
Opera;303526;100
Otolaryngology - Head and Neck Surgery (Tokyo);9143491;100
Otorhinolaryngologist;17529360, 17529379;100
Otorhinolaryngology Clinics;0975444X, 09756957;100
Outre-Mers;16310438;100
Oxford German Studies;00787191, 17459214;100
Oxymag;9901310;100
Package Printing;1639234;100
Packaging News;482676;100
Paginas;1851992X;100
Paint and Coatings Industry;8843848;100
Pamietnik Literacki;310514;100
Paper Conference and Trade Show, PaperCon 2016;-;100
Papers of the Bibliographical Society of America;23776528, 0006128X;100
Papers on French Seventeenth Century Literature;3430758;100
Paris Review;312037;100
Passato e Presente;19725493, 11200650;100
Pediatriya;4797876;100
Pensee;314773;100
Pensee Plurielle;17821479, 13760963;100
Performance Apparel Markets;14776456;100
Perfusion (Germany);14324334, 09350020;100
Perspective (France);17777852, 22697721;100
Perspective infirmière : revue officielle de l'Ordre des infirmières et infirmiers du Québec;17081890;100
Petroleum Economist;0306395X;100
Pharmaceutical Manufacturing and Packing Sourcer;14631245;100
Pharmaceutical Technology Europe;1646826;100
Pharmacy Times;30627;100
Pharmazeutische Zeitung;317136;100
Philobiblon;22478442, 12247448;100
Philological Quarterly;317977;100
Philosophical Readings;20364989;100
Philosophie;2941805;100
Pipeline and Gas Journal;320188;100
Pipeline Pigging and Integrity Management Conference 2017, Papers;-;100
Plant Engineer;320838;100
Ploughshares;00484474, 21620903;100
Poetry;322032;100
Porownania;1733165X;100
Positif;484911;100
Povijesni Prilozi;03519767, 18489087;100
Power Engineering;325961;100
Poznanskie Studia Polonistyczne, Seria Literacka;12338680;100
Practica Otologica;326313;100
Practica Otologica, Supplement;9121870;100
Pravara Medical Review;09760164, 09750533;100
Preservation;10909931;100
Printing Impressions;0032860X;100
Print Quarterly;2658305;100
Printwear;15227898, 08983313;100
Problemi;5552419;100
Proceedings, Annual Convention - Gas Processors Association;968870;100
Proceedings - Annual SAFE Symposium (Survival and Flight Equipment Association);-;100
Proceedings of the 4th Academic Conference of Geology Resource Management and Sustainable Development;-;100
Proceedings of the 8th Electrical Insulation Conference, EIC 1968;-;100
Proceedings of the American Gas Association, Operating Section;997250;100
Proceedings of the Annual IEEE International Frequency Control Symposium;1616404;100
Proceedings of the Annual ISA Analysis Division Symposium;10506527;100
Proceedings of the Electrical/Electronics Insulation Conference;3622479;100
Proceedings of the International Conference on Fluidized Bed Combustion;0197453X;100
Proceedings of the Intersociety Energy Conversion Engineering Conference;0146955X;100
Prologue;331031;100
Prospettiva;3940802;100
Provider (Washington, D.C.);8880352;100
Prozesswarme;25673742;100
Przeglad Filozoficzno-Literacki;16432045;100
Przeglad Strategiczny;20846991;100
Przekladaniec;14256851, 16891864;100
Przestrzenie Teorii;16446763;100
Psihoterapija;3503186;100
Publications of the English Goethe Society;09593683, 17496284;100
Pulping, Engineering, Environmental, Recycling, Sustainability Conference 2016, PEERS 2016;-;100
Quaderni d'Italianistica;2268043;100
Quaderni Urbinati di Cultura Classica;17241901, 00334987;100
Quebec Journal of International Law;8289999;100
Queens Quarterly;336041;100
Quintana;15797414, 23400005;100
Quinto Sol;03292665, 18512879;100
Quinzaine Litteraire;486493;100
Quiroga;22547037;100
Radovi Instituta za Povijest Umjetnosti;18454534;100
Radovi Zavoda za Hrvatsku Povijest;0353295X, 18490344;100
Radovi - Zavoda za povijesne znanosti HAZU u Zadru;13300474;100
RA Revista de Arquitectura;22546332, 11385596;100
Rassegna della Letteratura Italiana;339423;100
Rassegna di Patologia dell'Apparato Respiratorio;339563;100
Real Estate Taxation;935107;100
Recherches sur Diderot et sur L'Encyclopedie;19552416, 07690886;100
Record of Conference Papers - Annual Petroleum and Chemical Industry Conference;903507;100
Rehabilitacja Medyczna;14279622;100
Religious Studies Review;0319485X;100
Religiski-Filozofiski Raksti;14071908;100
Renaissance and Reformation;0034429X;100
Renascence;00344346, 23298626;100
Rentgenologiya i Radiologiya;0486400X;100
Research in Contemporary World Literature/ Pazhuhesh-e Zabanha-ye Khareji;10260188;100
Resource Recycling;7444710;100
Restaurant Business;978043;100
Review - Literature and Arts of the Americas;17430666, 08905762;100
Revisiones en Cancer;2138573;100
Revista Argentina de Dermatologia;3252787;100
Revista Canadiense de Estudios Hispanicos;3848167;100
Revista Cubana de Ortopedia y Traumatologia;0864215X;100
Revista de Ciencias Farmaceuticas Basica e Aplicada;18084532;100
Revista de Critica Literaria Latinoamericana;2528843;100
Revista de Direito Civil Contemporaneo;23581433;100
Revista de Estudios Hispanicos;0034818X;100
Revista de Filologia Romanica;0212999X, 19882815;100
Revista de Filosofia: Aurora;01044443, 19805934;100
Revista de Filosofia (Chile);07184360, 00348236;100
Revista de Historia da Sociedade e da Cultura;16452259;100
Revista de Historia Regional;14140055;100
Revista de Humanidades;7170491;100
Revista de Letras;01013505, 19817886;100
Revista de Literatura;19884192, 0034849X;100
Revista de Occidente;348635;100
Revista Espanola de Pediatria;15781542, 0034947X;100
Revista Musical Chilena;07176252, 07162790;100
Revista Portuguesa de Historia;08704147, 21833796;100
Revista Proyecto, Progreso, Arquitectura;21716897, 21731616;100
Revue de Histoire Litteraire de la France;352411;100
Revue de Musicologie;19585632, 00351601;100
Revue de Philologie de Litterature et d Histoire Anciennes;351652;100
Revue des Langues Romanes;2233711;100
Revue des Musees de France;19624271;100
Revue des Sciences Humaines;352195;100
Revue des Sciences Philosophiques et Theologiques;352209;100
Revue d'Histoire du Theatre;12912530;100
Revue du Nord;352624;100
Revue du Podologue;17667313;100
Revue Francaise d'Etudes Americaines;3977870;100
Revue Numismatique;4848942;100
Revue Philosophique de Louvain;17831768, 00353841;100
Revue Theologique de Louvain;17838401, 00802654;100
Revue Thomiste;354295;100
Ricerca Folklorica;3919099;100
Ricerche di Storia dell Arte;3927202;100
RIHA Journal;21903328;100
Rita Revista Indexada de Textos Academicos;23409711, 23867027;100
Rivista degli Studi Orientali;17241863, 03924866;100
Rivista di Cultura Classica e Medioevale;00356085, 1724062X;100
Rivista di Filologia Classica;356220;100
Rivista di storia della chiesa in Italia;356557;100
Rivista Italiana della Saldatura;356794;100
Rivista Storica Italiana;357073;100
RLC - Revue de Litterature Comparee;00351466, 19650264;100
Romance Notes;357995;100
Romance Studies;17458153, 02639904;100
Romanica Cracoviensia;20843917, 17328705;100
Romanic Review;358118;100
Romantische Zeitschrift fur Literaturgeschichte - Cahiers de Histoire des Litteratures Romanes;0343379X;100
Russian Studies in Literature;10611975, 19447167;100
Saeculum;21944075, 00805319;100
Sales and Marketing Management;1637517;100
Salmagundi;363529;100
Salud (i) Sciencia;16678990, 16678982;100
Samuel Beckett Today - Aujourd hui;09273131, 18757405;100
Savoirs et Clinique;16343298, 17762871;100
Schweizerische Zeitschrift fur Religions- und Kulturgeschichte;16613880;100
Schweizer Zeitschrift fur Gynakologie;16610199;100
Screen Printing;369594;100
Sculpture Journal;13662724;100
Sefarad;00370894, 1988320X;100
Seibutsu-kogaku Kaishi;9193758;100
Selvedge;1742254X;100
Sewanee Review;00373052, 1934421X;100
Short Film Studies;20427824, 20427832;100
Sibirskii Filologicheskii Zhurnal;18137083;100
Sight and Sound;374806;100
Sinn und Form;375756;100
Skin Research;13471813, 18839614;100
Slovene;23040785, 23056754;100
Slovenska Rec;13384279, 00376981;100
